pali,pos,grammar,derived from,neg,verb,meaning,category,stem,pattern,same pali,same meaning
abhippalambati,pr,pr,,,,hangs down (over),ncped,abhippalamb,ati pr,1,0
abhippas?deti,pr,"pr, caus of ",abhippas?dati,,,makes well-disposed (towards); makes have confidence (in),ncped,abhippas?d,eti pr,1,0
abhippava??a,pp,pp of ,abhippava??ha,,,rained,ncped,abhippava??,a pp,2,2
abhippava??a,pp,pp of ,abhippava??ha,,,(passive) rained upon,ncped,abhippava??,a pp,2,0
abhippava??ha,pp,pp of ,abhippava??a,,,rained,ncped,abhippava??h,a pp,2,2
abhippava??ha,pp,pp of ,abhippava??a,,,(passive) rained upon,ncped,abhippava??h,a pp,2,0
abhipphu??ha,adj,adj,,,,irradiated,ncped,abhipphu??h,a adj,1,1
abhir?dhana,nt,nt,,,,satisfaction,ncped,abhir?dhan,a nt,1,1
abhir?dh?,adj,adj,,,,"pleasing, giving satisfaction",ncped,abhir?dh,? adj,1,1
abhir?ja,masc,masc,,,,supreme king,ncped,?misapa?isanth?r,a masc,1,1
abhiraman?,fem,fem,abhiram??a,,,"delight, content",ncped,celapa?ik,? fem,1,2
abhirama??,fem,fem,abhiram?na,,,"delight, content",ncped,cetaphara?at,? fem,1,2
abhiratar?pa,adj,adj,abhirata,,,absolutely content,ncped,abhiratar?p,a adj,1,1
abhiropayati,pr,"pr, caus of ","['abhiropeti', 'abhir?hati']",,,"causes to rise; plants; puts on, fixes on, fastens (especially on a th?pa)/ presents as an offering",ncped,abhiropay,ati pr,1,0
abhir?patara,adj,"adj, compar of abhir?pa",abhir?pa,,,more beautiful,ncped,abhir?patar,a adj,1,2
abhisajati,pr,pr,,,,reviles; offends,ncped,abhisaj,ati pr,1,1
abhisajjan?,fem,fem,,,,offense; (or attachment),ncped,cel?pik,? fem,1,0
?bhisallehika,adj,adj,?bhisallekhika,,,"concerned with austerity, with strict abstinence",ncped,?bhisallehik,a adj,1,1
abhisam?c?ra,masc,masc,,,,good conduct,ncped,?r?mapesak,a masc,1,1
abhisam?cita,adj,adj,,,,heaped together; accumulated,ncped,abhisam?cit,a adj,1,1
abhisambhavana,nt,nt,,,,(from abhisambhavati) mastering,ncped,abhisambhavan,a nt,1,0
abhisambhoti,pr,pr,,,,"reaches, attains; is able, capable (of); is adequate; masters; endures, bears",ncped,abhisambh,oti pr,1,0
abhisambh?,adj,adj,,,,(from abhisambhavati) mastering,ncped,abhisambh,? adj,1,0
abhisambhutv?,abs,abs of,,,,having mastered; having endured; having bore,ncped,-,,1,1
abhisa?hati,pr,pr,abhihasati,,,is excited; rejoices in the prospect of,ncped,abhisa?h,ati pr,1,2
abhisampar?ya?,ind,ind,,,,in a future state; in the next existence,ncped,-,,1,1
abhisa?visati,pr,pr,,,,attaches oneself to; clings to,ncped,abhisa?vis,ati pr,1,1
abhisañchanna,adj,adj,,,,completely covered,ncped,abhisañchann,a adj,1,1
abhisandayati,pr,"pr, caus of ",abhisandeti,,,"makes overflow; floods, drenches",ncped,abhisanday,ati pr,1,1
abhisa?g?,adj,adj,,,,"sticking to, attached to",ncped,abhisa?g,? adj,1,1
abhisa?khareti,pr,"pr, caus of ",abhisa?kharoti,,,"causes to be prepared, created; forms",ncped,abhisa?khar,eti pr,1,1
abhisa?kh?rika,adj,adj,,,,specially prepared; produced artificially,ncped,abhisa?kh?rik,a adj,1,1
abhisa?kha?a,pp,pp of ,"['abhisa?khata and abhisa?khita', 'abhisa?kharoti']",,,"planned, prepared, arranged; concocted, constructed, produced artificially; accumulated",ncped,abhisa?kha?,a pp,1,2
abhisa?khita,pp,pp of ,"['abhisa?kha?a and abhisa?khata', 'abhisa?kharoti']",,,"planned, prepared, arranged; concocted, constructed, produced artificially; accumulated",ncped,abhisa?khit,a pp,1,2
abhisa?khitta,adj,adj,abhisa?kharoti,,,"heaped together, collected; concentrated, condensed",ncped,abhisa?khitt,a adj,1,1
