pali,pos,grammar,derived from,neg,verb,meaning,category,stem,pattern,same pali,same meaning
oss?vana,nt,nt,ossavana,,,(according to commentary) the top of the roof,ncped,oss?van,a nt,1,0
ot?payati,pr,pr,ot?peti,,,"warms; warms in the sun, dries; puts (in the sun) to dry",ncped,ot?pay,ati pr,1,0
otappati,pr,pr,,,,is heated; becomes warm,ncped,otapp,ati pr,1,1
ot?r?pekkha,adj,adj,ot?r?,,,looking for an opening; longing for a weak point,ncped,ot?r?pekkh,a adj,1,1
ot?rayati,pr,pr,"['ot?reti', 'otarati']",,,"causes to descend, makes go down (into), fetc.hes down; lets down, lowers, puts down; takes down, removes; makes appear, puts forward; makes alight",ncped,ot?ray,ati pr,1,0
otata,adj,adj,,,,overspread; covered,ncped,otat,a adj,1,1
otomasika,adj,adj,,,,(one) who is in the dark,ncped,otomasik,a adj,1,0
ott?pa,masc,masc,,,,"shame, fear (of doing wrong)",ncped,kukku?acch?pak,a masc,1,0
ottapati,pr,pr,ottappati,,,"feels ashamed or bashful; is afraid (of doing wrong); is scrupulous (to avoid, with instrumental, genitive, and, rarely, accusative); (also ottappati)",ncped,ottap,ati pr,1,0
ottappiya,nt,nt,,,,fear (of wrong doing),ncped,ottappiy,a nt,1,0
ottharaka,nt,nt,ottharika,,,a kind of sieve or filter (?),ncped,ottharak,a nt,1,0
otthar?petv?,abs,abs of,ottharati,,,having caused (something) to be overwhelmed or crushed or submerged,ncped,-,,1,0
ottharika,nt,nt,ottharaka,,,a kind of sieve or filter (?),ncped,ottharik,a nt,1,0
o??havacittaka,masc,masc,,,,a kind of bird (according to commentary named from its song),ncped,kukku?ak,a masc,1,0
ov?dakara,adj,adj,ov?da,,,following advice; obeying instructions,ncped,ov?dakar,a adj,1,1
ov?da?hapita,adj,adj,ov?da,,,from whom instruction has been withdrawn,ncped,ov?da?hapit,a adj,1,1
ovaddheyya,nt,nt,,,,"a patch, patching",ncped,ovaddheyy,a nt,1,1
ovadeti,pr,pr,ovadati,,,instructs; admonishes; counsels,ncped,ovad,eti pr,1,1
ovadi,aor,aor of ,ovadati,,,gave advice; admonished,ncped,ovad,i aor,1,1
ov?dik?,fem,fem,ov?daka,,,"(one) who admonishes; instructs, counsels",ncped,kut?s?l,? fem,1,0
ovara?a,nt,nt,,,,"covering, protection",ncped,ovara?,a nt,1,1
ovarenta,prp,"prp, caus",,,,"obstructing; covering, concealing",ncped,ovar,enta prp,1,1
ovass?yati,pr,"pr, caus of ","['ovassati', 'ovassate']",,,(also ovass?peti) lets be rained upon; exposes to the rain,ncped,ovass?y,ati pr,1,0
ova?a,pp,pp of ,,,,checked; prevented,ncped,ova?,a pp,1,1
ova??a,pp,pp of ,"['ovassati', 'ova??ha', 'ovu??ha']",,,rained upon; exposed to the rain,ncped,ova??,a pp,1,2
ova??ik?,fem,fem,"['ova??ik?', 'ova??iya']",,,"what is rolled up or round; a fold, a tuck; a hem; a seam; a girdle, a waist cloth, a fold of material at the waist (in which objects were carried); perhaps also a bracelet",ncped,ova??ik,? fem,1,0
ova??iy?,fem,fem,"['ova??ika', 'ova??ik?']",,,"what is rolled up or round; a fold, a tuck; a hem; a seam; a girdle, a waist cloth, a fold of material at the waist (in which objects were carried); perhaps also a bracelet",ncped,ova??iy,? fem,1,0
ovu?a,pp,pp of ,ovuta,,,"covered; encompassed; checked, obstructed",ncped,ovu?,a pp,1,1
ovu??ha,pp,pp of ,"['ovassati', 'ova??a', 'ova??ha']",,,rained upon; exposed to the rain,ncped,ovu??h,a pp,1,2
ovuyhati,pr,pr,,,,is carried down,ncped,ovuyh,ati pr,1,1
oy?cati,pr,pr,,,,"curses, imprecates",ncped,oy?c,ati pr,1,1
pabodhenta,prp,prp of pabodheti,pabodheti,,,arousing; awakening; enlightening,ncped,pabodh,enta prp,1,1
paccabhavi,aor,aor of ,paccanubhavati,,,underwent; experienced,ncped,paccabhav,i aor,1,1
paccabhavitv?,abs,abs of,paccanubhavati,,,having undergone; having experienced,ncped,-,,1,1
pacchimo k?lo,idiom,idiom,k?la,,,"the last moment, the time of dying; the final time",ncped,!,pacchimo k?lo,1,1
pa?gu??hesi,aor,aor of ,pa?igu??heti,,,entangled; enveloped,ncped,pa?gu??h,esi aor,1,1
pañcabala,nt,nt,,,,five mental forces,ncped,pañcabal,a nt,1,1
pa??tara,adj,adj,,,,more exalted; much delicious,ncped,pa??tar,a adj,1,1
paribb??ha,pp,pp of,paribr?hati,,,encompassed; surrounded,ncped,paribb??h,a pp,1,1
parikha?i,aor,aor of ,parikha?ati,,,dug around,ncped,parikha?,i aor,1,1
paripa?ati,pr,pr,"to go to ruin, to come to fall, to come to naught",,,Err:509,ncped,paripa?,ati pr,1,1
p?rupi,aor,aor of ,p?rupati,,,wrapped in; veiled; put on a robe,ncped,p?rup,i aor,1,1
pas?daniya,adj,adj,,,,inspiring; confidence,ncped,pas?daniy,a adj,1,1
pa?ibh??a,nt,nt,,,,ready wit; promptitude; readiness of speech; intelligence,ncped,pa?ibh??,a nt,1,1
pa?iggahetu,masc,masc,,,,"one who accept, receives or takes; a recipient",ncped,pa?iggahet,u masc,1,1
p?yesi,aor,aor of ,p?yeti,,,made suck or drink,ncped,p?y,esi aor,1,1
phaletv?,abs,abs of,ph?leti,,,having broken; having split; having cut asunder,ncped,-,,1,1
pharus?v?c?,fem,fem,,,,rough speech,ncped,kumbha??h?nakth,? fem,1,1
pi??hakh?daniya,nt,nt,,,,sweets made of flour,ncped,pi??hakh?daniy,a nt,1,1
privisitv?,abs,abs of,parivisati,,,having served with food; having waited upon when food is taken,ncped,-,,1,1
r?jadh?ni,fem,fem,,,,the royal city,ncped,r?jadh?n,i fem,1,1
raman?,fem,fem,,,,a woman,ncped,raman,? fem,1,1
rasahara??,fem,fem,,,,the taste conductor,ncped,rasahara?,? fem,1,1
rath???ka,nt,"nt, comp",,,,a group of war chariots,ncped,rath???k,a nt,1,1
saccav?ca,masc,masc,,,,one who speaks the truth,ncped,antarubbh?r,a masc,1,1
s?dh?ra,adj,adj,?dh?ra,,,with a stand,ncped,s?dh?r,a adj,1,1
saduttara,adj,adj,,,,very hard to cross over or climb out of,ncped,saduttar,a adj,1,1
s?gata,adj,adj,"['?gata', 'sv?gata']",,,well come; welcome; well learnt; a good coming,ncped,s?gat,a adj,1,1
saka?ika,adj,adj,ka?ika,,,"blemished, marked with spots or freckles",ncped,saka?ik,a adj,1,1
sakas?va,adj,adj,kas?va,,,"defective, imperfect; impure",ncped,sakas?v,a adj,1,1
sakatamukha,adj,adj,,,,narrow in front like the yoke of a buggi,ncped,sakatamukh,a adj,1,1
sakkar?yatim?na,prp,prp of sakkar?yati,sakkar?yati,,,respecting,ncped,sakkar?yati,m?na prp,1,1
saku?aggh?,masc,masc,,,,a hawk,ncped,saku?aggh,? masc,1,1
s?linda,adj,adj,?linda,,,with a terrace or verandah or surrounding platform; with its terraces,ncped,s?lind,a adj,1,1
s?loke,ind,ind,?loka,,,in the light,ncped,-,,1,1
sam?dana,nt,nt,,,,taking; observance; acceptance,ncped,sam?dan,a nt,1,1
s?maggi,fem,fem,,,,concord; unity,ncped,s?magg,i fem,1,1
samajjabhicara?a,nt,nt,,,,visiting fairs or festivals,ncped,samajjabhicara?,a nt,1,1
samavep?kin?,fem,fem,,,,promoting good digestion,ncped,samavep?kin,? fem,1,1
sammapaññ?,fem,fem,,,,right knowledge,ncped,kom?riy,? fem,1,1
samphappalapa,masc,masc,,,,talking nonsense,ncped,ant?b?dh,a masc,1,1
sampupphita,pp,pp of,,,,in full bloom,ncped,sampupphit,a pp,1,1
samupabb??ha,adj,adj,,,,in full swing; crowded,ncped,samupabb??h,a adj,1,1
sa?v?sam kappeti,idiom,idiom,kappeti,,,"lives with; especially lives as a man and wife, cohabits (with saddhi? + instrumental)",ncped,!,sa?v?sam kappeti,1,0
sa?vidam?na,prp,prp of sa?vidahati,sa?vidahati,,,arranging; giving orders,ncped,sa?vida,m?na prp,1,1
santev?sika,adj,adj,"['antev?sika', 's?ntev?sika']",,,"with resident pupils, i.e. with internal impurities",ncped,santev?sik,a adj,1,2
s?ntev?sika,adj,adj,"['antev?sika', 'santev?sika']",,,"with resident pupils, i.e. with internal impurities",ncped,s?ntev?sik,a adj,1,2
sanucara,adj,adj,,,,together with follower(s),ncped,sanucar,a adj,1,0
sanuc?rika,adj,adj,,,,with a female companion,ncped,sanuc?rik,a adj,1,1
s?nuv?da,adj,adj,anuv?da,,,open to criticism; at fault,ncped,s?nuv?d,a adj,1,1
sapekha,adj,adj,"['sapekkha', 'apekh?']",,,having a longing (for); with longing,ncped,sapekh,a adj,1,0
sapekkha,adj,adj,"['sapekha', 'apekkh?']",,,having a longing (for); with longing,ncped,sapekkh,a adj,1,0
s?r?n?ya,adj,adj,,,,what should be reminded,ncped,s?r?n?y,a adj,1,1
s?tis?ra,adj,adj,atis?ra,,,associated with an offense; transgressing,ncped,s?tis?r,a adj,1,1
saudaka,adj,adj,udaka,,,wet,ncped,saudak,a adj,1,1
saupaddava,adj,adj,upaddava,,,subject to calamity; unsafe; dangerous,ncped,saupaddav,a adj,1,1
saup?hana,adj,adj,up?han?,,,wearings sandals; shod,ncped,saup?han,a adj,1,1
savajja,adj,adj,avajja,,,"blameworthy, faulty",ncped,savajj,a adj,1,1
savasesa,adj,adj,avasesa,,,having something left; incomplete (of an offense) remediable,ncped,savases,a adj,1,0
savup?d?na,adj,adj,"['up?d?na', 'saup?d?na', 'sop?d?na']",,,"holding on to; marked by grasping; having(material) support, supplied with fuel",ncped,savup?d?n,a adj,2,0
savup?d?na,nt,nt,"['up?d?na', 'saup?d?na', 'sop?d?na']",,,(a state of) holding on to; the having support,ncped,savup?d?n,a nt,2,0
s?ya?ha,masc,masc,,,,evening,ncped,antimapuris,a masc,1,1
s?ya?hasamaya,masc,masc,,,,the latter part of the afternoon; evening; after-noon,ncped,anto?r?m,a masc,1,1
sinimmita,adj,adj,,,,well erected,ncped,sinimmit,a adj,1,1
s?suddhi,fem,fem,,,,purity,ncped,s?suddh,i fem,1,1
sop?d?na,adj,adj,"['up?d?na', 'sa-up?d?na', 'savup?d?na']",,,"holding on to; marked by grasping; having (material) support, supplied with fuel",ncped,sop?d?n,a adj,2,0
sop?d?na,nt,nt,"['up?d?na', 'sa-up?d?na', 'savup?d?na']",,,(a state of) holding on to; the having support,ncped,sop?d?n,a nt,2,0
sos?rita,adj,adj,"['os?rita', 'su-os?rita']",,,properly readmitted,ncped,sos?rit,a adj,1,2
sotaviññeya,adj,adj,,,,cognizable by hearing,ncped,sotaviññey,a adj,1,1
subba??ita,adj,adj,,,,well rubbed,ncped,subba??it,a adj,1,1
suddi??ha,adj,adj,uddi??ha,,,"well, properly recited",ncped,suddi??h,a adj,1,2
sukallar?pa,adj,adj,kallar?pa,,,very fit and ready; physically fit,ncped,sukallar?p,a adj,1,1
sukara??ya,adj,adj,kara??ya,,,having something (still) to do,ncped,sukara??y,a adj,1,0
sukath?,fem,fem,kath?,,,"a good discourse, well directed talk",ncped,kha?opik,? fem,1,1
suka??ha,adj,adj,ka??ha,,,"well plowed, well cultivated",ncped,suka??h,a adj,1,1
sukhambiya,adj,adj,khambeti,,,easily made stiff (with fear); easily hindered,ncped,sukhambiy,a adj,1,0
sukkhetta,nt,nt,"['sukhetta', 'khetta']",,,"good, fertile land; a very suitable place or recipient",ncped,sukkhett,a nt,1,1
sukusalasampaha??ha,adj,adj,sukusala,,,"polished skillfully, polished by a very skillful worker",ncped,sukusalasampaha??h,a adj,1,1
suññag?ra,nt,nt,,,,an empty place,ncped,suññag?r,a nt,1,1
suos?rita,adj,adj,"['sos?rita', 'os?rita']",,,properly readmitted,ncped,suos?rit,a adj,1,2
s?patittha,adj,adj,,,,with beautiful fords,ncped,s?patitth,a adj,1,1
supa??h?ka,adj,adj,"['upa??h?ka', 's?pa??h?ka']",,,easy to attend or nurse,ncped,supa??h?k,a adj,1,2
s?pa??h?ka,adj,adj,"['upa??h?ka', 'supa??h?ka']",,,easy to attend or nurse,ncped,s?pa??h?k,a adj,1,2
supa??hita,adj,adj,"['upa??hita', 's?pa??hita']",,,properly at hand; very much present,ncped,supa??hit,a adj,1,1
suriyauggamana,nt,nt,,,,the sun-rise,ncped,suriyauggaman,a nt,1,1
suuddi??ha,adj,adj,uddi??ha,,,"well, properly recited",ncped,suuddi??h,a adj,1,2
sv?khy?ta,adj,adj,,,,well proclaimed,ncped,sv?khy?t,a adj,1,1
tacama?s?valepana,adj,adj,,,,with a plastering of flesh and skin,ncped,tacama?s?valepan,a adj,1,1
tacas,masc,masc,,,,skin (human or animal),ncped,tac,as masc,2,0
tacas,masc,masc,,,,bark; rind; peel,ncped,tac,as masc,2,1
tacasara,adj,adj,,,,of which the essential or strong part is the skin or bark,ncped,tacasar,a adj,1,1
taco??ha?a,adj,adj,,,,covered with skin,ncped,taco??ha?,a adj,1,1
tadaggena,ind,ind,,,,according to that; to that extent,ncped,-,,1,1
tadahe,ind,"ind, adv",tadahu,,,"that day, that very day",ncped,-,,1,1
tadanulomika,adj,adj,,,,which accords with that,ncped,tadanulomik,a adj,1,1
taddigu?a,adj,adj,ta(d),,,"twice that, double that",ncped,taddigu?,a adj,1,1
tadeka??ha,adj,adj,,,,"standing together with that, conjoined with that",ncped,tadeka??h,a adj,1,1
tad?pik?,adj,adj,,,,"fit for that, appropriate for that",ncped,tad?p,aka adj,1,1
tadu??h?ya,ind,ind,,,,arising from that,ncped,-,,1,1
tagaracandan?,adj,adj,,,,belonging to tagara and sandalwood powder,ncped,tagaracandan,? adj,1,1
tagaramallik?,fem,fem pl,,,,(the scent of) tagara and jasmine,ncped,tagaramallik,? fem pl,1,0
tajjan?kata,adj,adj,,,,dealt with by a formal act of the sa?gha expressing a rebuke,ncped,tajjan?kat,a adj,1,1
tajjan?ya,adj,adj,,,,concerning a rebuke; (a formal act of the sa?gha) expressing a rebuke,ncped,tajjan?y,a adj,1,0
tajjan?yakamma,nt,nt,,,,a formal act of the sa?gha expressing rebuke,ncped,tajjan?yakamm,a nt,1,1
tajjan?yakammakata,adj,adj,,,,dealt with by a formal act of the sa?gha expressing a rebuke; under censure,ncped,tajjan?yakammakat,a adj,1,1
taka,nt,nt,,,,a kind of medicinal resin,ncped,tak,a nt,1,1
takk?r?,fem,fem,,,,"a tree; pea tree, sesbania sesban",ncped,takk?r,? fem,1,1
t??acchiggala,masc,masc,t?lacchiggala,,,keyhole,ncped,dhammabhisamay,a masc,1,1
talasattik?,fem,fem,,,,the palm of the hand as a weapon,ncped,nisad,? fem,1,1
tamatagge,ind,ind,,,,in the highest degree; at the end of ignorance,ncped,-,,1,1
tambaka,adj,adj,,,,(made of) copper,ncped,tambak,a adj,1,0
tambaloha,nt,nt,,,,copper,ncped,tambaloh,a nt,1,1
ta?catuttha,adj,adj,ta(d),,,"with that one as the fourth, consisting of that one and three others",ncped,ta?catutth,a adj,1,1
ta?dasama,adj,adj,ta(d),,,"with that one as the tenth, consisting of that one and nine others",ncped,ta?dasam,a adj,1,1
ta?dukkha,adj,adj,ta(d),,,"having, sharing, that unhappiness",ncped,ta?dukkh,a adj,1,1
ta?pañcama,adj,adj,ta(d),,,"with that one as the fifth, consisting of that one and four others",ncped,ta?pañcam,a adj,1,1
ta?sukha,adj,adj,,,,"having, sharing, that happiness",ncped,ta?sukh,a adj,1,1
ta?v?sa,adj,adj,,,,"with that one as the twentieth, consisting of that one and 19 others",ncped,ta?v?s,a adj,1,1
ta?vusita,adj,adj,,,,who has served that (suspension),ncped,ta?vusit,a adj,1,0
ta??ulahoma,nt,nt,,,,an offering of rice,ncped,ta??ulahom,a nt,1,1
ta??ulapa?hibasta,nt,nt,,,,a bag of rice in return?,ncped,ta??ulapa?hibast,a nt,1,0
ta??ulapphala,adj,adj,,,,"producing, being, the pure grain (without husk)",ncped,ta??ulapphal,a adj,1,0
ta?hacchida,adj,adj,,,,who cuts off craving,ncped,ta?hacchid,a adj,1,1
ta?hadhipanna,adj,adj,,,,"in the power of, assailed by, craving",ncped,ta?hadhipann,a adj,1,1
ta?h?gata,adj,adj,,,,under the influence of craving,ncped,ta?h?gat,a adj,2,1
ta?h?gata,nt,nt,,,,a sort of craving,ncped,ta?h?gat,a nt,2,1
ta?h?jatika,adj,adj,,,,born from craving,ncped,ta?h?jatik,a adj,1,1
ta?h?k?ya,masc,masc,,,,a group of cravings,ncped,dhammatther,a masc,1,1
ta?h?m?laka,adj,adj,,,,having craving as its root,ncped,ta?h?m?lak,a adj,1,1
ta?h?sammudita,adj,adj,,,,finding joy in craving,ncped,ta?h?sammudit,a adj,1,1
ta?h?yati,pr,pr,,,,"(denominative from ta?h?) thirsts, has a craving",ncped,ta?h?y,ati pr,1,0
ta?kha?ika,adj,adj,ta(d),,,"just for that time, for a short time; temporary",ncped,ta?kha?ik,a adj,1,1
?a?kitamañca,masc,masc,,,,a kind of platform or couch; a (chiseled) stone platform?,ncped,dhammakarak,a masc,1,0
tantabha?daka,nt,nt,,,,tools etc. for weaving,ncped,tantabha?dak,a nt,1,1
tantaka,nt,nt,,,,a thread ?; a loom ?,ncped,tantak,a nt,1,0
tantibaddha,adj,adj,,,,tied,ncped,tantibaddh,a adj,1,1
tanuka?,ind,"ind, adv, ",,,,a little,ncped,-,,1,1
tappar?ya?a,adj,adj,ta(d),,,"having that as one’s chief object, totally engaged with that",ncped,tappar?ya?,a adj,1,1
tarahi,ind,ind,,,,"then, at that time",ncped,-,,1,1
taru?avuta,adj,adj,,,,surrounded by young men,ncped,taru?avut,a adj,1,1
tasara,nt,nt,,,,shuttle,ncped,tasar,a nt,1,1
tassap?piyasak?,fem,fem,,,,a proceeding of censure (against a bhikkhu accused of a serious offense who prevaricates or denies the offense; one of the methods of settling a case or dispute),ncped,nisabhavat,? fem,1,0
tassap?piyasak?kamma,nt,nt,,,,a formal act of the sa?gha authorizing censure,ncped,tassap?piyasak?kamm,a nt,1,1
tassap?piyasak?kammakata,adj,adj,,,,dealt with a tassap?piyasak? formal act of the sa?gha,ncped,tassap?piyasak?kammakat,a adj,1,1
tath? hi,idiom,idiom,tath?,,,for so; for thus (as it has been said); for instance; because,ncped,!,tath? hi,1,0
tath?gataka,adj,adj,,,,(one) who goes in that way; goes accordingly,ncped,tath?gatak,a adj,1,0
tath?gat?nisevita,adj,adj,,,,"(a place rubbed by) the frequenting of the tath?gata, a trace of the tath?gata",ncped,tath?gat?nisevit,a adj,1,0
tath?gat?rañjita,adj,adj,,,,"(a place) scored by the tath?gata, a mark of the tath?gata",ncped,tath?gat?rañjit,a adj,1,0
tath?t?,fem,fem,,,,the state of being so; the true state of things,ncped,nipphad,? fem,1,1
tath?tta,adj,adj,,,,being of such a character,ncped,tath?tt,a adj,1,1
tathiva,adj,adj,,,,true,ncped,tathiv,a adj,1,1
tath?pama?,ind,"ind, adv, ",,,,like that; in a similar way,ncped,-,,1,1
tatiyaka,adj,adj,,,,the third,ncped,tatiyak,a? adj,1,1
tato nid?na?,idiom,ind,,,,because of that,ncped,!,tato nid?na?,1,2
tato nimitta?,idiom,ind,,,,because of that,ncped,!,tato nimitta?,1,2
tatoja,adj,adj,,,,born from that,ncped,tatoj,a adj,1,1
tatophabutika,adj,adj,,,,beginning from that (one),ncped,tatophabutik,a adj,1,0
tatra??ha,adj,adj,,,,being there; belonging to that place,ncped,tatra??h,a adj,1,1
tatr?p?ya,adj,adj,,,,being the appropriate means for that,ncped,tatr?p?y,a adj,1,1
tatrupayaññ?,adj,adj,,,,knowing the appropriate means for that,ncped,tatrupayaññ,? adj,1,1
tatthaparinibb?y?,adj,adj,,,,"who realizes nibb?na there, in that state",ncped,tatthaparinibb?y,? adj,1,1
tatuttarit?,fem,"fem, abstr",,,,the being more than that; excess,ncped,nipajj,? fem,1,1
t?vak?lika?,ind,"ind, adv, ",,,,temporarily,ncped,-,,1,1
t?vataka,adj,adj,,,,however many (with y?vataka~y?vataka va t?vataka v?),ncped,t?vat,aka adj,1,0
t?vatakena,ind,"ind, adv, instr sg of",,,,with just so much; merely with that,ncped,-,,1,1
t?vatiha?,ind,ind,,,,for a period of so many days,ncped,-,,1,1
tecatt?r?sa,card,card,,,,forty three (43),ncped,tecatt?r?s,? card,1,0
tecatt?r?saka,nt,nt,,,,a group of 43,ncped,tecatt?r?sak,a nt,1,1
tec?vara,nt,nt,tic?vara,,,"the three robes of a monk (the inner, under, and the upper robes)",ncped,tec?var,a nt,1,0
tec?var?,adj,adj,,,,having (only) the three robes; undertaking the dhuta?ga of having (only) the three robes,ncped,tec?var,? adj,1,0
teda??ika,masc,masc,,,,a paribb?jaka who carries three staves,ncped,nitthun,a masc,1,1
tedh?,ind,ind,,,,in three ways; threefold,ncped,-,,1,1
tejadh?tu,fem,fem,,,,the element of fire,ncped,tejadh?t,u fem,1,1
tejagaharaka,adj,adj,,,,who scorns or disparages (the element of fire),ncped,tejagaharak,a adj,1,0
tejajiggicchaka,adj,adj,,,,who spurns or despises (the element of) fire,ncped,tejajiggicchak,a adj,1,0
teka?ula,adj,adj,,,,made of three pungent substances,ncped,teka?ul,a adj,1,1
telaka,masc,masc,,,,"a medicine snuffed through the nose, or inserted in the nose",ncped,nind?ros,a masc,1,1
telap?ka,masc,masc,,,,a decoction of oil,ncped,nipannokas,a masc,1,1
tena up?yena,idiom,idiom,up?ya,,,"in this way, thus; by this means",ncped,!,tena up?yena,1,3
tepaññasa,card,card,,,,fifty three (53),ncped,tepaññas,? card,1,0
terasaka,nt,nt,,,,a group of 13,ncped,terasak,a nt,1,1
tetti?sa,card,card,,,,thirty three (33),ncped,tetti?s,? card,1,0
tev?cika,adj,adj,,,,using or involving three utterances or proclamations,ncped,tev?cik,a adj,1,1
tevijj?ri?a,nt,nt,,,,a desert that is the three Vedas,ncped,tevijj?ri?,a nt,1,1
tev?sa,card,card,,,,twenty three (23),ncped,tev?s,? card,2,0
tev?sa,ordin,ordin,,,,twenty-third (23rd),ncped,tev?s,a ordin,2,0
thaddhana,nt,nt,,,,making stiff; making solid,ncped,thaddhan,a nt,1,1
th?lidhovana,nt,nt,,,,the water used for washing a pot,ncped,th?lidhovan,a nt,1,1
thamati,pr,pr,,,,delays (?); is disturbed (?),ncped,tham,ati pr,1,0
th?mavanta,adj,adj,,,,strong; firm,ncped,th?mavant,a adj,1,1
thambheti,pr,pr,,,,"establishes, supports; makes stiff or rigid",ncped,thambh,eti pr,1,1
thambh?,adj,adj,,,,hard; arrogant,ncped,thambh,? adj,1,1
thanaka,masc,masc,,,,the breast,ncped,nibbakos,a masc,1,1
thanati,pr,pr,,,,"roars, thunders",ncped,than,ati pr,1,1
?hapaniya,ptp,ptp of,,,,to be set aside,ncped,?hapaniy,a ptp,1,1
th?vareyya,nt,nt,,,,"stability; continuance; being firm, long lasting",ncped,th?vareyy,a nt,1,1
theradhika,adj,adj,,,,with an elder in charge,ncped,theradhik,a adj,1,1
theraka,adj,adj,,,,thick,ncped,therak,a adj,1,1
ther?nuther?,masc,masc pl,,,,elders and those next in seniority,ncped,ther?nuther,a masc pl,1,1
therap??i,fem,fem,,,,"the fine, the list, of elders",ncped,therap??,i fem,1,1
theratara,adj,adj,comparative,,,more senior,ncped,theratar,a adj,1,1
therika,adj,adj,,,,of the elders; belonging to the elders,ncped,therik,a adj,1,1
therik?,fem,fem,,,,a female elder; a venerable bhikkhu,ncped,ajak,? fem,1,1
thevaka,masc,masc,,,,a droplet,ncped,nisad?pot,a masc,1,1
thevik?,fem,fem,,,,a water bag; a water skin,ncped,thevik,? fem,1,1
thokatara,adj,adj,comparative,,,smaller; less; fewer,ncped,thokatar,a adj,1,1
thokathoka?,ind,"ind, adv, ",,,,just a little; a little each time; little by little; gradually,ncped,-,,1,1
th?lakum?r?,fem,fem,,,,a grown-up but unmarried girl (of loose morals or promiscuous),ncped,th?lakum?r,? fem,1,0
th?laphusitaka,adj,adj,,,,"composed of, raining, large drops",ncped,th?laphusitak,a adj,1,1
th?lavajja,adj,adj,,,,being a serious offense,ncped,th?lavajj,a adj,2,1
th?lavajja,nt,nt,,,,a serious offense,ncped,th?lavajj,a nt,2,1
thullaccay?patti,fem,fem,,,,a thullaccaya offense,ncped,thullaccay?patt,i fem,1,1
th??ik?,fem,fem,,,,a roof plate,ncped,sammapaññ,? fem,1,2
th??ir?,fem,fem,th??ik?,,,a roof plate,ncped,sukath,? fem,1,2
th?pac?vara,nt,nt,,,,cloth from a mound,ncped,th?pac?var,a nt,1,1
thusahoma,masc,masc,,,,an offering of husks,ncped,nibbind,a masc,1,1
tibbagarava,adj,adj,,,,having a strong respect (for),ncped,tibbagarav,a adj,1,0
tibhav?,masc,masc pl,,,,the three spheres or existence,ncped,tibhav,a masc pl,1,1
tigu?a,adj,adj,,,,threefold; three times; of three thicknesses,ncped,tigu?,a adj,1,1
tihapa?icchanna,adj,adj,,,,concealed for three days,ncped,tihapa?icchann,a adj,1,1
tikaka,nt,nt,,,,a section consisting of sets of three,ncped,tikak,a nt,1,1
tikkhindriya,adj,adj,,,,with sharp faculties,ncped,tikkhindriy,a adj,1,1
tilasa?gu?ik?,fem,fem,,,,a sesame cake,ncped,vigatacchandat,? fem,1,1
tima??ala,nt,nt,,,,the three circles (of the navel and the knees),ncped,tima??al,a nt,1,0
timbaruka,masc,masc,,,,the name of a paribb?jaka,ncped,nal,a masc,1,1
timir?yita,adj,adj,,,,become or appearing dark,ncped,timir?yit,a adj,1,1
ti?savassika,adj,adj,,,,being thirty years old; lasting for 30 years,ncped,ti?savassik,a adj,1,1
tim?laka,adj,adj,,,,with three bases; with three root,ncped,tim?lak,a adj,1,1
ti?ah?ri,fem,fem,,,,(one) who fetc.hes grass or hay,ncped,ti?ah?r,i fem,1,0
ti?aka??hapa??asa?a,masc,masc,,,,"rubbish of (dead) grass, twigs, and leaves",ncped,dhuta?gagu?,a masc,1,0
ti?apurisa,masc,masc,,,,a figure made of straw,ncped,nakkhattagg?h,a masc,1,1
tinduk?l?ta,nt,nt,,,,a fire of tinduka wood,ncped,tinduk?l?t,a nt,1,1
tindukh??u,masc,masc,,,,a tinduka tree’s stump,ncped,tindukh??,u masc,1,1
ti?hadh?ra,adj,adj,,,,sharp-edged,ncped,ti?hadh?r,a adj,1,1
tinti?a,adj,adj,,,,greedy; complaining,ncped,tinti?,a adj,1,1
tipada,adj,adj,,,,consisting of three padas; consisting of three parts,ncped,tipad,a adj,1,1
tipakkhavasana,nt,nt,,,,a garment made of three parts,ncped,tipakkhavasan,a nt,1,1
tiporisa?,ind,ind,,,,to the height of three men,ncped,-,,1,1
tiraccha,masc,masc,,,,going horizontally; an animal,ncped,navanives,a masc,1,2
tiracch?,fem,fem,,,,going horizontally; an animal,ncped,khu?san,? fem,1,2
tiracchayoni,fem,fem,,,,birth or existence as an animal; the animal class,ncped,tiracchayon,i fem,1,1
tiriy?,fem,fem,,,,a kind of grass or creeper,ncped,bad?lat,? fem,1,1
tiriya?tara??,fem,fem,,,,going across; going over,ncped,pharus?v?c,? fem,1,1
tiriya?gama,adj,adj,,,,going sideways; going horizontally,ncped,tiriya?gam,a adj,1,1
tirodussantena,ind,ind,,,,through a curtain,ncped,-,,1,1
tirog?ma,masc,masc,,,,another (distant) village,ncped,navapp?y,a masc,1,0
tirog?maka,masc,masc,,,,"one who lives outside of the village, in another (distant) village",ncped,navah,a masc,1,0
tirojanapada,masc,masc,,,,another (distant) district or country,ncped,nah?rudaddul,a masc,1,0
tirokucchigata,adj,adj,,,,within the womb,ncped,tirokucchigat,a adj,1,1
tiroku??a,adj,adj,tiroku??amhi,,,through a wall; to the other side of a wall,ncped,tiroku??,a adj,1,2
tiroku??a?,ind,"ind, adv",,,,through a wall; to the other side of a wall,ncped,-,,1,2
